"asset_id","front","asset_type","source_kind","source_ref","source_path","asset_name","disposition","final_target","required_action","notes"
"A022","A_broad","governance","git","17811d8","paper/supplement_ijds.qmd","Fair lending and MRM boundary","KEEP_REWRITE","body_limitations_and_supplement","Keep only as limitation and governance context","Grade is not a protected group"
"A023","A_broad","figure","worktree","working_tree","reports/crpto/figures/crpto_fig1_journal_pipeline.png","Conceptual CRPTO pipeline","KEEP_REWRITE","body_figure_1","Redesign for maturity timeline conformal score monthly decision and audit","Visual template is reusable"
"A024","A_broad","figure","worktree","working_tree","reports/crpto/figures/crpto_fig20_bound_claim_layers.pdf","Bound claim stack","KEEP_REWRITE","body_or_supplement_coverage_figure","Redesign as candidate temporal and selected-set coverage transport","Old Markov stack is retired"
"A025","A_broad","figure","worktree","working_tree","reports/crpto/figures/crpto_fig22_external_replication.pdf","External replication figure","RECOMPUTE","supplement_external","Regenerate only after external estimand audit","Never reuse old bars"
"A026","A_broad","figure","worktree","working_tree","reports/crpto/figures/crpto_fig25_price_of_robustness_scaling.pdf","Cross-dataset price-of-robustness figure","RECOMPUTE","supplement_external","Regenerate with coherent payoff and matched menus or omit","Old ordering is not final evidence"
"A027","A_broad","figure","worktree","working_tree","reports/crpto/figures/crpto_fig15_regret_auditability_frontier.pdf","Regret-auditability figure","RETIRE","none","Keep file as provenance only","Not aligned with final decision question"
"A028","A_broad","tables","worktree","working_tree","reports/crpto/tables","A3-A24 diagnostics","HISTORY_ONLY","provenance","Select diagnostic categories then recompute on final evidence","Do not preserve numbering by inertia"
"A029","A_broad","tables","worktree","working_tree","reports/crpto/tables","A25-A34 external package","RECOMPUTE","supplement_external","Rebuild or omit after maturity-safe external audit","Old external values are not portable"
"A030","A_broad","tables","worktree","working_tree","reports/crpto/tables","Pool93 A35-A40 package","HISTORY_ONLY","provenance","Keep protected artifacts immutable","Not active manuscript evidence"
"A031","A_broad","literature","worktree","working_tree","book/references.bib","Broad bibliography and removed body citations","KEEP_REWRITE","bibliography","Restore only references used by the final argument","Includes useful IJDS and decision papers plus obsolete branches"
"A032","A_broad","recovery_library","worktree","working_tree","book/chapters","Quarto book explanations and reviewer maps","KEEP_REWRITE","body_and_supplement_sources","Mine definitions figures and governance prose selectively","Book retains material removed from compact paper"
"B001","B_compact_v7","manuscript","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","Final compact v7 official manuscript","HISTORY_ONLY","provenance","Use as editorial skeleton only","Computationally exact but scientifically NO-GO"
"B002","B_compact_v7","supplement","git","63f9a9b","paper/supplement_ijds.qmd","Final compact v7 supplement","HISTORY_ONLY","provenance","Use its concise evidence map as a template","Too thin for final reconstruction"
"B003","B_compact_v7","method","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","One linear guardrail policy exposition","KEEP_REWRITE","body_method","Retain one-method discipline and transparent algebra","Final parameter choice remains development evidence"
"B004","B_compact_v7","method","worktree","working_tree","src/models/conformal_alpha_grid.py","Exact alpha replay utility","KEEP_DIRECT","historical_replay_utility","Keep tested utility separate from final maturity-safe evidence","Frozen widening recipe remains historical"
"B005","B_compact_v7","software_contract","worktree","working_tree","src/optimization/policy_selection.py","Outcome-free grid and selector primitives","KEEP_DIRECT","final_code","Generalize naming and isolate cap policy from primitive","Column isolation is necessary but not statistical independence"
"B006","B_compact_v7","software_contract","worktree","working_tree","src/optimization/policy_evaluation.py","Shared policy solver adapter","KEEP_DIRECT","final_code","Retain and rename interval inputs if final object is not PD","Avoid private duplicate solver paths"
"B007","B_compact_v7","software_contract","worktree","working_tree","src/optimization/input_alignment.py","Strict ID alignment and join validation","KEEP_DIRECT","final_code","Keep strict one-to-one defaults","Publication-grade data contract"
"B008","B_compact_v7","theory_code","worktree","working_tree","src/optimization/certificate_semantics.py","Funded-set accounting implementation","KEEP_REWRITE","final_code_and_supplement","Split deterministic algebra from Markov and IJDS constants","Probability-scale naming requires correction"
"B009","B_compact_v7","comparison_design","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","Matched point-PD comparator discipline","KEEP_REWRITE","body_results","Preserve same-menu same-budget same-payoff comparison","Recompute monthly"
"B010","B_compact_v7","reporting_design","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","Temporal heterogeneity and non-dominance reporting","KEEP_REWRITE","body_results","Keep wins losses and reversals equally visible","Replace invalid pooled slices"
"B011","B_compact_v7","reporting_design","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","Deterministic versus statistical boundary language","KEEP_REWRITE","body_theory","Preserve distinction and strengthen binary semantics","Do not retain Markov novelty"
"B012","B_compact_v7","reporting_design","git","63f9a9b","paper/submission/CRPTO_ijds_submission.tex","Retrospective lockbox disclosure","KEEP_REWRITE","body_limitations","Strengthen to static-corpus historical inspection disclosure","Never say pristine or preregistered"
"B013","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA35_exact_alpha_grid.csv","v7 exact alpha table","HISTORY_ONLY","provenance","Keep file but exclude final claims","Replays contaminated recipe"
"B014","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA36_calibration_policy_selector.csv","v7 selector table","HISTORY_ONLY","provenance","Keep file but exclude final claims","Upstream labels and cap invalidate independence"
"B015","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA37_calibration_selected_temporal_evaluation.csv","v7 temporal table","HISTORY_ONLY","provenance","Keep file but exclude final claims","Resolved-only pooled menu"
"B016","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA38_calibration_selected_grade_audit.csv","v7 grade table","HISTORY_ONLY","provenance","Keep file but exclude final claims","Grade is not conformal group or fairness"
"B017","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA39_calibration_selected_bootstrap.csv","v7 bootstrap table","HISTORY_ONLY","provenance","Keep file but exclude final claims","Fixed allocation only"
"B018","B_compact_v7","tables","worktree","working_tree","reports/crpto/tables/crpto_tableA40_calibration_selected_point_baseline.csv","v7 matched comparator table","HISTORY_ONLY","provenance","Retain comparison template not numbers","Objective and menu are invalid"
"B019","B_compact_v7","tooling","worktree","working_tree","scripts/compile_ijds_submission.py","Official TeX compilation and validation","KEEP_DIRECT","submission_workflow","Keep latexmk plus manual fallback and log checks","Independent of scientific claim"
"B020","B_compact_v7","tooling","worktree","working_tree","scripts/check_publication_integrity.py","Publication integrity checks","KEEP_DIRECT","submission_workflow","Extend to final table figure and terminology contract","Strong reusable control"
"B021","B_compact_v7","tests","worktree","working_tree","tests/test_ijds_active_claim_sync.py","v7 claim synchronization tests","KEEP_REWRITE","final_tests","Replace v7 constants with final evidence contract after promotion","Do not delete before replacement exists"
"B022","B_compact_v7","tooling","worktree","working_tree","docs/refactor/ijds_tooling_decisions_2026-07-09.md","uv Ruff mypy ty pytest just DVC tooling decisions","KEEP_DIRECT","engineering_governance","Keep tooling decisions and mark live v7 methodology superseded","Avoid adding duplicate tools"
"C001","C_maturity_safe","config","worktree","working_tree","configs/experiments/champion_reopen_ijds_maturity_safe_coherent_payoff_v1.yaml","Maturity-safe coherent-payoff v1 config","KEEP_REWRITE","final_experiment_config","Use as development template then freeze a fresh run tag","Cap 0.28 is historical development"
"C002","C_maturity_safe","runner","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","Maturity-safe challenger runner","KEEP_REWRITE","final_code","Modularize before any promotable rerun","Current file is 1958 lines with D21 orchestrator"
"C003","C_maturity_safe","tests","worktree","working_tree","tests/test_experiments/test_ijds_maturity_safe_challenger.py","Maturity payoff chronology and output tests","KEEP_DIRECT","final_tests","Split with modules while preserving all assertions","High-value scientific guardrails"
"C004","C_maturity_safe","tests","worktree","working_tree","tests/test_data/test_outcome_observability.py","Outcome observability tests","KEEP_DIRECT","final_tests","Keep status-independent universe and explicit legacy opt-in","Canonical DVC compatibility is protected by an explicit stage flag"
"C005","C_maturity_safe","tests","worktree","working_tree","tests/test_operational_guardrails.py","Operational safety tests","KEEP_DIRECT","final_tests","Keep safe all alias no-execute book full pytest and mypy scope","Independent of claims"
"C006","C_maturity_safe","data_contract","worktree","working_tree","src/data/make_dataset.py","Nullable snapshot outcome and unresolved retention","KEEP_REWRITE","maturity_safe_data_lane","Keep the safe default while the canonical DVC stage opts explicitly into historical resolved-only replay","Do not remove the explicit stage flag"
"C007","C_maturity_safe","data_contract","worktree","working_tree","src/data/prepare_dataset.py","Observed-label refusal guard","KEEP_REWRITE","maturity_safe_data_lane","Use only after explicit maturity selection not implicit status filtering","Canonical DVC receives observed labels through its explicit historical flag"
"C008","C_maturity_safe","scientific_contract","worktree","working_tree","configs/experiments/champion_reopen_ijds_maturity_safe_coherent_payoff_v1.yaml","Status-independent membership and maturity gap","KEEP_DIRECT","body_data_design","Retain dates term and availability assertions with fresh config","Core repair of survivorship bias"
"C009","C_maturity_safe","scientific_contract","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","Coherent standardized binary payoff","KEEP_DIRECT","body_method_and_code","Extract reusable payoff module and preserve reconciliation test","Call standardized payoff not return IRR or NPV"
"C010","C_maturity_safe","scientific_contract","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","Fresh monthly budget evaluation","KEEP_DIRECT","body_design_and_results","Extract monthly evaluator and preserve matched menus","Replaces pooled future menu"
"C011","C_maturity_safe","scientific_contract","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","Outcome-free decision panel and post-decision join","KEEP_DIRECT","final_code","Extract boundary and preserve forbidden-column tests","Necessary but not sufficient for statistical independence"
"C012","C_maturity_safe","conformal_method","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","Exact Mondrian absolute-residual binary interval","KEEP_REWRITE","body_method_and_supplement","Rename as outcome interval or replace under a new tagged method","Not a confidence interval for latent PD"
"C013","C_maturity_safe","audit","worktree","working_tree","scripts/experiments/run_ijds_maturity_safe_challenger.py","All-candidate temporal coverage and extrapolation audit","KEEP_DIRECT","supplement_results","Materialize on fresh run and include saturation diagnostics","Code was added after current scratch output"
"C014","C_maturity_safe","scratch_result","worktree","working_tree","models/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1/maturity_safe_challenger_summary.json","Dirty scratch summary","HISTORY_ONLY","diagnostic_provenance","Do not promote or compare as final evidence","Records dirty=true and predates later code"
"C015","C_maturity_safe","scratch_artifacts","worktree","working_tree","data/processed/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1","Scratch data and decision artifacts","HISTORY_ONLY","diagnostic_provenance","Retain locally until fresh run reconciles findings","No overwrite and no paper claims"
"C016","C_maturity_safe","scratch_artifacts","worktree","working_tree","models/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1","Scratch model calibrator and recipe","HISTORY_ONLY","diagnostic_provenance","Retain locally until fresh run","Generated from dirty implementation"
"C017","C_maturity_safe","scratch_result","worktree","working_tree","data/processed/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1/portfolio/monthly_oot_evaluation.csv","Seven-month paired decision results","RECOMPUTE","body_results","Rerun after modular committed implementation and report all months","Directionally useful only"
"C018","C_maturity_safe","scratch_result","worktree","working_tree","data/processed/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1/portfolio/monthly_funded_allocations.parquet","Funded allocation audit","RECOMPUTE","supplement_results","Rerun and derive binary miscoverage decomposition","Current selected coverage is 0.6891"
"C019","C_maturity_safe","provenance","worktree","working_tree","src/utils/script_helpers.py","Contained output path helper","KEEP_DIRECT","final_code","Keep and test path traversal rejection","Reusable operational hardening"
"C020","C_maturity_safe","provenance","worktree","working_tree","models/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1/maturity_safe_challenger_summary.json","Artifact SHA-256 schema and environment receipt","KEEP_REWRITE","final_governance","Split deterministic result payload from execution receipt and restore implementation provenance","Do not delete source commit without replacement"
"C021","C_maturity_safe","literature_audit","worktree","working_tree","docs/research/ijds_state_of_art_audit_2026-07-10.md","IJDS state-of-art and red-team audit","KEEP_DIRECT","research_control","Use as literature and validity source after final proofreading","Current decisive NO-GO analysis"
"C022","C_maturity_safe","literature_inventory","worktree","working_tree","docs/research/literature_corpus_inventory_2026-07-10.csv","97-paper corpus inventory","KEEP_DIRECT","research_control","Preserve hashes parser routes and relevance labels","Supports reproducible literature intake"
"C023","C_maturity_safe","narrative","worktree","working_tree","docs/research/ijds_three_front_reconstruction_2026-07-10.md","Single-paper maturity and selection narrative","KEEP_DIRECT","reconstruction_control","Use as the only reconstruction ledger until final evidence promotion","Does not activate scratch claims"
"C024","C_maturity_safe","mechanism_audit","worktree","working_tree","data/processed/experiments/champion_reopen/champion-reopen-2026-07-10__maturity-safe-coherent-payoff-v1/portfolio/monthly_funded_allocations.parquet","Temporal composition and within-Mondrian selection decomposition","RECOMPUTE","body_results_and_supplement","Materialize as a fresh-run table and figure with exact identity checks","Scratch indicates the default benefit is group composition while coverage failure is within-group selection"
