folder,file,relative_path,title,authors,year,status,primary_domain,bib_key,bib_status,canonical_url,verification_status,pages,word_count,figure_caption_count,table_caption_count,core_concepts,key_claims,method_or_evidence,conclusions,figures_tables_useful,limitations,crpto_value,extended_lab_value,quarto_destination,decision,action_required,evidence_gate,artifact_sink,stop_rule,implementation_or_experiment,notes,tags
paper,Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,Data-Driven Robust Credit Portfolio Optimization for Investment Decisions in P2P Lending,Guangyu Chi; Lei Ding; Xiangyu Peng,2019,Applied Soft Computing / Elsevier article,P2P credit portfolio optimization,chi2019p2p,added_2026_06_06,,local_pdf_text,10,8038,2,2,"P2P lending, robust credit portfolio, data-driven scoring, risk-return allocation.",Robust optimization can improve P2P investment decisions under model uncertainty.,Empirical P2P lending optimization study.,Closest credit-domain precedent for robust P2P allocation.,Use experimental design/tables as comparator template for Lending Club portfolio papers.,No conformal guarantees and no funded-set miscoverage bound.,Important applied-credit related work.,Context for digital-lending robust allocation.,CRPTO related work; thesis context.,append_crpto_related_work,completed_bib_quarto_patch,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;robust_optimization;p2p
paper,Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,Task-based End-to-end Model Learning in Stochastic Optimization,Priya L. Donti; Brandon Amos; J. Zico Kolter,2017,NeurIPS 2017,decision-focused learning,donti2017,existing,https://arxiv.org/abs/1703.04529,local_pdf_text,15,9069,5,2,"End-to-end learning, differentiable optimization, downstream task loss.",Training against task loss can outperform prediction-error training for decisions.,Decision-focused learning experiments.,DFL lineage for SPO+/PyEPO comparator.,"Use as historical DFL lineage, not as CRPTO method figure.",No conformal coverage or credit-specific auditability.,Comparator lineage only.,Supports PyEPO/DFL lane.,CRPTO related work; agenda extendida CRPTO/tesis DFL appendix.,append_comparator,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,dfl
paper,Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,"Smart Predict, then Optimize",Adam N. Elmachtoub; Paul Grigas,2022,Management Science,SPO+ / predict-then-optimize,elmachtoub2022,existing,https://doi.org/10.1287/mnsc.2020.3922,local_pdf_text,46,19271,7,0,"SPO loss, SPO+ surrogate, regret-oriented training, downstream decision quality.",Models can be trained to reduce decision regret rather than prediction error.,Theory and computational experiments for SPO/SPO+.,Primary DFL comparator: SPO+ may reduce regret but does not provide conformal auditability.,Use benchmark/regret tables as comparator template.,No coverage guarantee and no uncertainty-set audit trail.,"Core comparator, not replacement.",Formal PyEPO lane support.,CRPTO related work and SPO appendix.,append_comparator,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,dfl;spo
paper,Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,paper/Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,Instance-based Credit Risk Assessment for Investment Decisions in P2P Lending,Yanhui Guo; Wenjun Zhou; Chunyu Luo; Chuanren Liu; Hui Xiong,2016,European Journal of Operational Research,P2P credit decision support,guo2016p2p,needs_bib_if_cited,https://doi.org/10.1016/j.ejor.2015.05.050,local_pdf_text,10,10638,3,1,"Instance-based learning, P2P loan investment, risk-return decision support.",Loan-level decision support can improve P2P investment performance.,Empirical P2P lending recommender/credit assessment.,Useful historical Lending Club/P2P context.,Portfolio decision tables can inspire thesis background.,No conformal or robust bound.,Applied setting support.,Digital-lending decision context.,Related work if credit-domain section expands.,context_credit_domain,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;p2p
paper,Hu et al 2026 - Conformal Robustness Control.pdf,paper/Hu et al 2026 - Conformal Robustness Control.pdf,Conformal Robustness Control,Yang Hu; Jieren Tan; Changliang Zou; Yajie Bao; Haojie Ren,2026,ICLR 2026,conformal robustness / decision risk,hu2026crc,added_2026_06_06,https://openreview.net/forum?id=xRjOrcj08o,web_primary_and_local_pdf,29,15751,8,6,"Robustness control, conformal calibration, robust decision criteria.",Conformal machinery can certify robustness-oriented decision properties.,Recent conference method with robust-control framing.,"Confirms CRPTO is timely, but should remain future-work unless reproduced.","Use as frontier map figure/table in related work, not main evidence.",Not yet implemented in the project; no Lending Club funded-set result.,Future-work frontier; supports not overclaiming current method.,Candidate future gate for robustness certificates.,agenda extendida CRPTO/tesis future gate; CRPTO related-work frontier.,park_future_work,completed_bib_quarto_patch,Only run if a reviewer asks for robustness-control comparison or it changes C4/C6.,agenda extendida CRPTO/tesis future experiment register.,Park if it cannot be evaluated on frozen CRPTO artifacts without retraining a new method.,Possible robustness-control audit over V/violation; not executed.,,conformal;robustness;future_work
paper,Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,The Roles of Alternative Data and Machine Learning in Fintech Lending,Julapa Jagtiani; Catharine Lemieux,2019,Financial Management,fintech lending / LendingClub,jagtiani2019altdata,existing,https://doi.org/10.1111/fima.12295,local_pdf_text,32,11827,4,2,"LendingClub, alternative data, credit grades, FICO relationship, fintech underwriting.",Fintech grades and alternative data provide empirical credit information beyond traditional scores.,Empirical LendingClub study.,Best setting citation for why Lending Club is a meaningful credit-risk lab.,"Use tables about grade/FICO/performance as context, not CRPTO evidence.",Does not validate CRPTO or fairness claims.,Core empirical-setting support.,Metric governance and FICO proxy context.,CRPTO introduction and dataset context.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;lendingclub
paper,Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,Conformal Uncertainty Sets for Robust Optimization,Chancellor Johnstone; Bruce Cox,2021,COPA / PMLR,conformal robust optimization,johnstone2021,existing,https://proceedings.mlr.press/v152/johnstone21a.html,local_pdf_text,19,7385,8,0,"Conformal regions as uncertainty sets, robust optimization, finite-sample validity.",Conformal prediction regions can feed robust optimization with validity.,Method paper with simulation evidence.,Closest foundational CP -> RO bridge.,Use as conceptual predecessor for CRPTO pipeline figure.,No credit-specific funded-set weighted bound.,Core method foundation.,Context only.,CRPTO theory and related work.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;robust_optimization
paper,Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,Conformal Contextual Robust Optimization,Neel Patel; Omar Rayan; Ambuj Tewari,2024,AISTATS 2024,conformal contextual robust optimization,patel2024,existing,https://arxiv.org/abs/2310.10003,local_pdf_text,22,8949,8,2,"Contextual robust optimization, conformal regions, generative uncertainty.",Informative conformal uncertainty regions can improve robust contextual decisions.,Method and benchmark experiments.,Strong neighboring method but with different uncertainty geometry and domains.,Use related-work contrast table.,Not credit-specific and no funded-set PD constraint.,Direct neighbor in related work.,Future high-dimensional uncertainty context.,CRPTO related work.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;robust_optimization
paper,Sun et al 2024 - Predict-then-Calibrate.pdf,paper/Sun et al 2024 - Predict-then-Calibrate.pdf,Predict-then-Calibrate: A New Perspective of Robust Contextual LP,Chunlin Sun; Linyu Liu; Xiaocheng Li,2024,arXiv / robust contextual LP,predict-then-calibrate,sun2024ptc,existing,https://arxiv.org/abs/2305.15686,local_pdf_text,33,15922,7,4,"Predict-then-calibrate, robust contextual LP, box/ellipsoid uncertainty sets.",Post-hoc calibration can build valid uncertainty sets for robust contextual optimization.,Theory and experiments for robust LP calibration.,Closest conceptual comparator to post-hoc CRPTO.,Use contrast table: PtC set membership vs CRPTO funded-set weighted risk.,No Lending Club and no Mondrian funded-set bound.,Core closest-neighbor contrast.,Selector/calibration context.,CRPTO related work and theory.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;robust_optimization;ptc
paper,Torkian Bamdad Sarfaraz 2025 - AI OR Investment Decisions in Digital Lending.pdf,paper/Torkian Bamdad Sarfaraz 2025 - AI OR Investment Decisions in Digital Lending.pdf,Integrating AI and OR for investment decision-making in emerging digital lending businesses,Vajiheh Torkian; Shahrooz Bamdad; Amir Homayoun Sarfaraz,2026,Journal of the Operational Research Society; online 2025,AI/OR digital lending,aior2025lendingclub,added_2026_06_06,https://doi.org/10.1080/01605682.2025.2498652,web_primary_and_local_pdf,21,14792,9,10,"Digital lending, multi-objective risk-return optimization, AI + OR pipeline.",Combining ML and OR improves investment recommendations in digital lending.,Applied multi-objective optimization paper.,Useful applied competitor/context; not a conformal method.,Use risk-return frontier and experimental setup as agenda extendida CRPTO/tesis comparator inspiration.,"No conformal coverage, no CRPTO bound, no Lending Club champion evidence.",Related-work context only.,agenda extendida CRPTO/tesis digital-lending architecture context.,agenda extendida CRPTO/tesis synthesis; CRPTO related work if space allows.,append_extended_context,completed_bib_quarto_patch,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;optimization;digital_lending
paper,Zhao et al 2026 - Conformal Robust Optimization and Satisficing.pdf,paper/Zhao et al 2026 - Conformal Robust Optimization and Satisficing.pdf,Conformal Robust Optimization and Satisficing for Prescriptive Analytics with Black-Box Predictors,Lingjie Zhao; Hansheng Jiang; Wei Qi,2026,AISTATS workshop / SSRN working paper,conformal robust optimization / satisficing,zhao2025robust,existing,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5338354,local_pdf_text,5,3097,1,1,"Conformal robust optimization, satisficing, black-box predictors, parameter mapping.",CRO and conformal robust satisficing can certify robust prescriptive decisions.,Workshop paper with optimization experiments.,Valuable frontier for satisficing margins and policy acceptance thresholds.,"Use satisficing margin idea for appendix, not body.",Preprint/workshop and not credit-specific.,Related-work frontier.,Satisficing/governance candidate.,CRPTO related work; agenda extendida CRPTO/tesis future gates.,append_future_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;robust_optimization;satisficing
supplement,Angelopoulos et al 2026 - Conformal Risk Control for Non-Monotonic Losses.pdf,supplement/Angelopoulos et al 2026 - Conformal Risk Control for Non-Monotonic Losses.pdf,Conformal Risk Control for Non-Monotonic Losses,Anastasios N. Angelopoulos,2026,arXiv preprint,non-monotonic conformal risk control,angelopoulos2026nonmonotonic,existing,https://arxiv.org/abs/2602.20151,local_pdf_text,22,10455,6,0,"Non-monotonic loss, risk control, multi-objective loss families.",CRC ideas can extend beyond monotone losses under new machinery.,Theory preprint.,Useful for future compound loss: return + V + CVaR + source risk.,Use loss examples for future gate design.,Not implemented; would change current CRPTO claim.,Future-work only.,Strong future gate for composite risk.,agenda extendida CRPTO/tesis future experiment register.,park_future_work,none_now,Only reopen with a fixed compound loss and prospective split.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;risk_control;future_work
supplement,Bao et al 2025 - CROMS Optimal Model Selection for Conformalized Robust Optimization.pdf,supplement/Bao et al 2025 - CROMS Optimal Model Selection for Conformalized Robust Optimization.pdf,Optimal Model Selection for Conformalized Robust Optimization,Yajie Bao; Yang Hu; Haojie Ren; Peng Zhao; Changliang Zou,2025,arXiv preprint,CROMS / model selection,bao2025croms,existing,https://arxiv.org/abs/2507.04716,local_pdf_text,104,40342,6,14,"Conformalized robust optimization, decision-aware model selection, downstream risk.",Selecting conformal models should account for robust decision performance.,Theory/algorithm and experiments.,Justifies CRPTO's CROMS-lite selector but not a full implementation claim.,Use selection diagrams/tables to structure A5/A10 appendix.,"Project only has a selector screen over artifacts, not CROMS training.",Appendix selector support.,Lane 2 selector context.,CRPTO appendix and agenda extendida CRPTO/tesis selector lane.,append_crpto_selector,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;selector;robust_optimization
supplement,Barber Candes Ramdas Tibshirani 2023 - Conformal Prediction Beyond Exchangeability.pdf,supplement/Barber Candes Ramdas Tibshirani 2023 - Conformal Prediction Beyond Exchangeability.pdf,Conformal Prediction Beyond Exchangeability,Rina Foygel Barber; Emmanuel J. Candes; Aaditya Ramdas; Ryan J. Tibshirani,2023,Annals of Statistics,beyond exchangeability / weighted conformal,barber2023beyond,added_2026_06_06,https://doi.org/10.1214/23-AOS2276,web_primary_and_local_pdf,63,23681,6,6,"Weighted exchangeability, distribution shift, non-exchangeable conformal validity.",Conformal validity can be extended with weights under structured departures from exchangeability.,Theory paper.,Important boundary/future source for source/shift lanes.,Use assumptions table for source governance appendix.,Requires weight/shift structure not currently guaranteed.,Caveat/future work.,Strong source/shift conformal lane reference.,agenda extendida CRPTO/tesis online/source caveat.,append_extended_source_shift,completed_bib_quarto_patch,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;shift;source
supplement,Ben-Tal Teboulle 2007 - Optimized Certainty Equivalent.pdf,supplement/Ben-Tal Teboulle 2007 - Optimized Certainty Equivalent.pdf,An Old-New Concept of Convex Risk Measures: The Optimized Certainty Equivalent,Aharon Ben-Tal; Marc Teboulle,2007,Mathematical Finance,OCE / convex risk measures,bental2007oce,existing,https://doi.org/10.1111/j.1467-9965.2007.00311.x,local_pdf_text,30,11477,0,0,"Optimized certainty equivalent, convex risk measures, CVaR relation.",OCE provides a principled convex risk-measure family.,Mathematical risk-measure theory.,Grounds OCE/CVaR tail-risk appendix.,"Use definitions, not figures.",Does not choose a credit champion by itself.,Appendix tail-risk foundation.,Tail challenger foundation.,CRPTO appendix; agenda extendida CRPTO/tesis tail lane.,append_tail_risk,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,tail_risk;oce
supplement,Bhattacharyya Barber 2026 - Group-Weighted Conformal Prediction.pdf,supplement/Bhattacharyya Barber 2026 - Group-Weighted Conformal Prediction.pdf,Group-Weighted Conformal Prediction,Aabesh Bhattacharyya; Rina Foygel Barber,2026,Electronic Journal of Statistics,group-weighted conformal prediction,bhattacharyya2026groupweighted,added_2026_06_06,https://doi.org/10.1214/26-EJS2506,web_primary_and_local_pdf,27,13333,5,0,"Group-weighted CP, group-based shift, weighted conformal prediction.","When groups drive covariate shift, group-weighted calibration can improve guarantees.",Theory paper with group-weighted guarantees.,"Natural candidate for agenda extendida CRPTO/tesis source/grade reweighting, but not current CRPTO.",Use group-weighting assumptions for source-governance table.,Needs target/source group weights and prospective design.,Future robustness/context only.,Potential source/shift experiment over grade/period/source families.,agenda extendida CRPTO/tesis source/shift appendix.,append_mixed_diagnostic_source_not_better,experiment_completed_appendix_diagnostic,"Executed on frozen v4 replay with 2018 calibration and 2019-2020 holdout; absolute gate passed, but worst-source coverage fell 0.0111 below Mondrian.",docs/research/papers_tesis_deep_audit_2026-06-06.md,Append as source/shift diagnostic only; do not claim group-weighted source improvement over Mondrian.,"Group-weighted source-max replay: coverage 0.9387, avg width 0.9394, worst defended source 0.8602.",,conformal;group_weighted;shift
supplement,CFPB 2014 - Public Information Proxy Race Ethnicity.pdf,supplement/CFPB 2014 - Public Information Proxy Race Ethnicity.pdf,Using Publicly Available Information to Proxy for Unidentified Race and Ethnicity,Consumer Financial Protection Bureau,2014,official methodology report,fair-lending proxy methodology,cfpb2014bisg,needs_bib_if_cited,https://files.consumerfinance.gov/f/201409_cfpb_report_proxy-methodology.pdf,local_pdf_text,37,9880,6,17,"BISG-style proxy, surname/geography, proxy validation, protected-attribute limitation.",Race/ethnicity proxying requires richer inputs and careful validation.,Regulatory/official methodology report.,Supports why Lending Club zip3/state is insufficient for legal fair-lending claims.,Use proxy-method workflow as governance appendix reference.,Project lacks surname and fine geography.,Fairness limitation only.,Strong claim-boundary source for proxy governance.,agenda extendida CRPTO/tesis fairness/source governance.,append_extended_governance,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,fairness;governance
